Month,Golden_Retriever,West_Highland_White_Terrier,Dalmatian,Cockapoo,Labrador_Retriever
2004-01,10,15,9,<1,36
2004-02,13,16,9,0,34
2004-03,17,19,10,<1,35
2004-04,14,16,12,<1,38
2004-05,13,12,7,<1,37
2004-06,8,14,6,1,34
2004-07,16,18,11,1,29
2004-08,12,20,10,<1,38
2004-09,15,19,9,<1,41
2004-10,9,17,6,1,30
2004-11,11,20,7,1,39
2004-12,15,17,9,0,38
2005-01,13,18,9,1,41
2005-02,11,21,7,1,42
2005-03,13,14,8,<1,41
2005-04,13,13,10,<1,39
2005-05,12,14,9,<1,37
2005-06,12,12,8,1,35
2005-07,9,15,9,1,40
2005-08,11,16,9,1,37
2005-09,16,15,8,1,41
2005-10,14,19,8,1,44
2005-11,12,15,7,1,37
2005-12,12,15,8,<1,43
2006-01,11,18,8,1,40
2006-02,10,15,8,3,41
2006-03,12,15,10,1,42
2006-04,11,15,8,2,37
2006-05,10,13,8,2,34
2006-06,9,13,12,1,34
2006-07,11,12,11,1,34
2006-08,12,18,9,2,44
2006-09,11,16,9,2,40
2006-10,12,16,8,2,40
2006-11,11,14,7,2,34
2006-12,12,16,10,2,36
2007-01,15,14,8,2,40
2007-02,13,13,9,2,37
2007-03,12,15,10,3,39
2007-04,12,15,9,3,37
2007-05,10,14,9,2,36
2007-06,11,13,9,3,38
2007-07,11,14,9,3,39
2007-08,11,16,9,3,40
2007-09,11,13,8,3,38
2007-10,10,14,7,4,37
2007-11,12,16,9,3,39
2007-12,13,14,8,3,37
2008-01,13,14,9,4,43
2008-02,13,13,8,4,41
2008-03,11,14,10,3,40
2008-04,12,14,7,4,39
2008-05,11,12,8,4,35
2008-06,11,15,8,5,34
2008-07,11,12,8,3,37
2008-08,13,15,8,5,39
2008-09,12,13,7,5,39
2008-10,10,12,8,4,33
2008-11,12,12,8,4,39
2008-12,12,13,8,4,38
2009-01,12,13,10,6,42
2009-02,12,13,9,5,39
2009-03,12,12,8,5,43
2009-04,13,13,8,5,45
2009-05,13,11,8,6,42
2009-06,12,10,7,4,39
2009-07,14,12,8,5,42
2009-08,15,16,8,6,46
2009-09,14,14,7,6,44
2009-10,12,11,8,6,40
2009-11,13,13,7,5,40
2009-12,11,12,10,4,40
2010-01,13,11,8,6,43
2010-02,14,11,7,6,40
2010-03,13,10,8,6,38
2010-04,12,12,7,6,39
2010-05,12,11,6,7,37
2010-06,12,11,7,6,37
2010-07,14,12,7,7,38
2010-08,13,11,7,9,41
2010-09,12,13,7,8,40
2010-10,12,14,9,8,36
2010-11,12,13,8,7,35
2010-12,12,15,7,6,35
2011-01,12,15,8,9,43
2011-02,11,13,8,9,43
2011-03,12,15,8,9,38
2011-04,12,15,8,9,39
2011-05,12,12,9,9,42
2011-06,11,13,9,10,39
2011-07,13,13,9,11,42
2011-08,15,16,9,12,44
2011-09,13,14,9,12,40
2011-10,14,13,10,12,41
2011-11,12,14,9,12,41
2011-12,13,15,11,13,41
2012-01,12,15,9,14,42
2012-02,12,13,9,13,43
2012-03,12,13,8,13,42
2012-04,14,15,9,14,44
2012-05,12,13,9,15,41
2012-06,13,13,9,14,42
2012-07,12,12,9,16,41
2012-08,14,14,9,18,43
2012-09,16,15,9,19,47
2012-10,15,16,9,17,46
2012-11,13,15,10,16,47
